SampleID	LOCALITY	POP	ID	SEX	COUNTRY	GROUP
AAS2	AAS	AAS	2	F	NOR	N
AAS3	AAS	AAS	3	M	NOR	N
AAS6	AAS	AAS	6	F	NOR	N
AAS10	AAS	AAS	10	F	NOR	N
AAS18	AAS	AAS	18	F	NOR	N
AAS21	AAS	AAS	21	M	NOR	N
AAS22	AAS	AAS	22	F	NOR	N
AAS24	AAS	AAS	24	F	NOR	N
AAS25	AAS	AAS	25	M	NOR	N
AAS28	AAS	AAS	28	F	NOR	N
AAS29	AAS	AAS	29	M	NOR	N
AAS30	AAS	AAS	30	F	NOR	N
AAS41	AAS	AAS	41	M	NOR	N
ASA2	ASA	ASA	2	F	SWE	N
ASA8	ASA	ASA	8	F	SWE	N
ASA10	ASA	ASA	10	M	SWE	N
ASA11	ASA	ASA	11	M	SWE	N
ASA12	ASA	ASA	12	F	SWE	N
ASA13	ASA	ASA	13	F	SWE	N
ASA14	ASA	ASA	14	F	SWE	N
ASA20	ASA	ASA	20	F	SWE	N
ASA21	ASA	ASA	21	F	SWE	N
ASA46	ASA	ASA	46	M	SWE	N
ASA47	ASA	ASA	47	M	SWE	N
ASA124	ASA	ASA	124	M	SWE	N
ASA125	ASA	ASA	125	M	SWE	N
ASA126	ASA	ASA	126	M	SWE	N
BAD1	BAD	LIN	1	M	AUT	S
BAD3	BAD	LIN	3	M	AUT	S
BAD16	BAD	LIN	16	F	AUT	S
BAD17	BAD	LIN	17	F	AUT	S
BAD18	BAD	LIN	18	F	AUT	S
BAW148	BAW	BAW	148	F	DEU	S
BAW150	BAW	BAW	150	F	DEU	S
BAW153	BAW	BAW	153	M	DEU	S
BAW156	BAW	BAW	156	M	DEU	S
BAW158	BAW	BAW	158	M	DEU	S
BAW160	BAW	BAW	160	F	DEU	S
BAW162	BAW	BAW	162	M	DEU	S
BAW164	BAW	BAW	164	M	DEU	S
BAW165	BAW	BAW	165	F	DEU	S
BAW175	BAW	BAW	175	M	DEU	S
BAW178	BAW	BAW	178	M	DEU	S
BIL5	BIL	BIL	5	F	CZE	S
BIL6	BIL	BIL	6	M	CZE	S
BIL7	BIL	BIL	7	F	CZE	S
BIL8	BIL	BIL	8	F	CZE	S
BIL9	BIL	BIL	9	F	CZE	S
BIL10	BIL	BIL	10	F	CZE	S
BIL11	BIL	BIL	11	F	CZE	S
BIL20	BIL	BIL	20	M	CZE	S
BIL27	BIL	BIL	27	M	CZE	S
BIL34	BIL	BIL	34	M	CZE	S
BIL40	BIL	BIL	40	M	CZE	S
BIL53	BIL	BIL	53	M	CZE	S
