ID	population
AAS10	AAS
AAS18	AAS
AAS2	AAS
AAS21	AAS
AAS22	AAS
AAS24	AAS
AAS25	AAS
AAS28	AAS
AAS29	AAS
AAS3	AAS
AAS30	AAS
AAS41	AAS
AAS6	AAS
ASA10	ASA
ASA11	ASA
ASA12	ASA
ASA124	ASA
ASA125	ASA
ASA126	ASA
ASA13	ASA
ASA14	ASA
ASA2	ASA
ASA20	ASA
ASA21	ASA
ASA46	ASA
ASA47	ASA
ASA8	ASA
BAD1	BAD
BAD16	BAD
BAD17	BAD
BAD18	BAD
BAD3	BAD
BAW148	BAW
BAW150	BAW
BAW153	BAW
BAW156	BAW
BAW158	BAW
BAW160	BAW
BAW162	BAW
BAW164	BAW
BAW165	BAW
BAW175	BAW
BAW178	BAW
BIL1-DUP	BIL
BIL10	BIL
BIL11	BIL
BIL20	BIL
BIL27	BIL
BIL34	BIL
BIL40	BIL
BIL5	BIL
BIL53	BIL
BIL6	BIL
BIL62	BIL
BIL7	BIL
BIL8	BIL
BIL9	BIL
BOR1	BOR
BOR11	BOR
BOR14	BOR
BOR15	BOR
BOR16	BOR
BOR18	BOR
BOR2	BOR
BOR22	BOR
BOR23-Q	BOR
BOR24	BOR
BOR5	BOR
BOR9	BOR
BRO3	ROZ
BRO5	ROZ
BRO6	ROZ
BRO9	ROZ
BUK15	ROZ
BUK17	ROZ
BUK5	ROZ
BUK7	ROZ
DEB1	ROZ
DEB16	ROZ
DEB2	ROZ
DEB9	ROZ
EFI1-2	EFI
EFI1-4	EFI
EFI1-7	EFI
EFI1-8	EFI
EFI1-9	EFI
EFI2-10	EFI
EFI2-11	EFI
EFI2-12	EFI
EFI2-4	EFI
EFI2-5	EFI
EFI2-6	EFI
EFI2-8	EFI
EFI2-9	EFI
FRE3	FRE
FRE4	FRE
FRE5	FRE
FRE6	FRE
GOS1	GOS
GOS10	GOS
GOS12	GOS
GOS13	GOS
GOS14	GOS
GOS15	GOS
GOS16	GOS
GOS17	GOS
GOS18-Q	GOS
GOS3	GOS
GOS4	GOS
GOS7	GOS
GOS8	GOS
GOS9-Q	GOS
KUK2	ROZ
KUK9	ROZ
LAM10	LAM
LAM11	LAM
LAM3	LAM
LAM7	LAM
LAM8	LAM
LAN1	LAN
LAN11	LAN
LAN16	LAN
LAN17	LAN
LAN19	LAN
LAN2	LAN
LAN25-H	LAN
LAN27	LAN
LAN3	LAN
LAN6	LAN
LAN7	LAN
LAN8	LAN
LAN9	LAN
LUB1	LUB
LUB17	LUB
LUB19	LUB
LUB2	LUB
LUB21	LUB
LUB22	LUB
LUB31	LUB
LUB35	LUB
LUB38	LUB
LUB5	LUB
LUB6	LUB
LUB62-H	LUB
LUB7	LUB
LUB8	LUB
MEL17	MEL
MEL18	MEL
MEL19	MEL
MEL20	MEL
MEL22	MEL
MEL23	MEL
MEL24	MEL
MEL25	MEL
MEL26	MEL
MEL27	MEL
MEL28	MEL
MEL29	MEL
MEL30	MEL
MEL32	MEL
SIL1-4	SIL
SIL1-5	SIL
SIL1-6	SIL
SIL1-8	SIL
SIL2-2	SIL
SIL2-6	SIL
SIL3-4	SIL
SIL3-5	SIL
SIL3-6	SIL
SIL4-2	SIL
SIL4-3	SIL
SIL4-6	SIL
SIL5-2	SIL
SIL5-7	SIL
STE1	STE
STE12	STE
STE2	STE
STE20	STE
STE22	STE
STE24	STE
STE25	STE
STE3-H	STE
STE31	STE
STE33	STE
STE4	STE
STE5	STE
STE8	STE
STE9	STE
STJ1	STJ
STJ10	STJ
STJ11	STJ
STJ12	STJ
STJ14	STJ
STJ2	STJ
STJ24	STJ
STJ3	STJ
STJ4	STJ
STJ6	STJ
STJ7	STJ
STJ8	STJ
STJ9	STJ
SVA1	SVA
SVA10	SVA
SVA11	SVA
SVA15	SVA
SVA16	SVA
SVA18	SVA
SVA3	SVA
SVA4	SVA
SVA5	SVA
SVA6	SVA
SVA7	SVA
SVA8	SVA
SVA9	SVA
TON10	TON
TON11	TON
TON18	TON
TON19	TON
TON2	TON
TON22-H	TON
TON3	TON
TON4	TON
TON5	TON
TON6	TON
TON7	TON
TON8	TON
TON9	TON
TRE1	TRE
TRE10	TRE
TRE11	TRE
TRE12	TRE
TRE15-Q	TRE
TRE16	TRE
TRE3	TRE
TRE4	TRE
TRE5	TRE
TRE6	TRE
TRE7	TRE
TRE8	TRE
TRE9	TRE
